ForecastKey,MonthStartDate,RegionKey,ProductKey,ForecastRevenue,ForecastCost,ForecastVersion
FC202401R01P001,2024-01-01,R01,P001,63808.70,28008.30,Rolling Forecast
FC202401R01P002,2024-01-01,R01,P002,65666.01,29734.06,Rolling Forecast
FC202401R01P003,2024-01-01,R01,P003,70513.50,27361.65,Rolling Forecast
FC202401R01P004,2024-01-01,R01,P004,76844.08,26987.91,Rolling Forecast
FC202401R01P005,2024-01-01,R01,P005,101133.43,33347.15,Rolling Forecast
FC202401R01P006,2024-01-01,R01,P006,64337.27,17975.63,Rolling Forecast
FC202401R01P007,2024-01-01,R01,P007,62066.58,19880.89,Rolling Forecast
FC202401R01P008,2024-01-01,R01,P008,102172.91,36858.61,Rolling Forecast
FC202401R02P001,2024-01-01,R02,P001,53932.41,23167.14,Rolling Forecast
FC202401R02P002,2024-01-01,R02,P002,68531.17,32097.98,Rolling Forecast
FC202401R02P003,2024-01-01,R02,P003,66095.59,26918.37,Rolling Forecast
FC202401R02P004,2024-01-01,R02,P004,69865.01,23168.67,Rolling Forecast
FC202401R02P005,2024-01-01,R02,P005,95418.73,30909.36,Rolling Forecast
FC202401R02P006,2024-01-01,R02,P006,53978.69,15191.50,Rolling Forecast
FC202401R02P007,2024-01-01,R02,P007,60385.94,18868.70,Rolling Forecast
FC202401R02P008,2024-01-01,R02,P008,79835.98,28114.75,Rolling Forecast
FC202401R03P001,2024-01-01,R03,P001,63722.51,27964.22,Rolling Forecast
FC202401R03P002,2024-01-01,R03,P002,84190.74,38036.80,Rolling Forecast
FC202401R03P003,2024-01-01,R03,P003,76272.35,30397.04,Rolling Forecast
FC202401R03P004,2024-01-01,R03,P004,97040.29,33879.19,Rolling Forecast
FC202401R03P005,2024-01-01,R03,P005,102420.02,35130.68,Rolling Forecast
FC202401R03P006,2024-01-01,R03,P006,53231.34,15772.40,Rolling Forecast
FC202401R03P007,2024-01-01,R03,P007,57761.79,17731.81,Rolling Forecast
FC202401R03P008,2024-01-01,R03,P008,108438.41,41166.49,Rolling Forecast
FC202401R04P001,2024-01-01,R04,P001,52226.61,21454.48,Rolling Forecast
FC202401R04P002,2024-01-01,R04,P002,63608.89,29546.58,Rolling Forecast
FC202401R04P003,2024-01-01,R04,P003,70390.14,26994.30,Rolling Forecast
FC202401R04P004,2024-01-01,R04,P004,80802.34,28016.72,Rolling Forecast
FC202401R04P005,2024-01-01,R04,P005,74852.77,26034.59,Rolling Forecast
FC202401R04P006,2024-01-01,R04,P006,50464.29,14646.55,Rolling Forecast
FC202401R04P007,2024-01-01,R04,P007,56870.44,17651.98,Rolling Forecast
FC202401R04P008,2024-01-01,R04,P008,92536.04,34316.31,Rolling Forecast
FC202401R05P001,2024-01-01,R05,P001,64251.49,26998.30,Rolling Forecast
FC202401R05P002,2024-01-01,R05,P002,60813.97,27711.29,Rolling Forecast
FC202401R05P003,2024-01-01,R05,P003,67893.19,26188.45,Rolling Forecast
FC202401R05P004,2024-01-01,R05,P004,82593.11,28153.28,Rolling Forecast
FC202401R05P005,2024-01-01,R05,P005,92926.54,31244.25,Rolling Forecast
FC202401R05P006,2024-01-01,R05,P006,66630.86,18382.75,Rolling Forecast
FC202401R05P007,2024-01-01,R05,P007,61260.81,18800.68,Rolling Forecast
FC202401R05P008,2024-01-01,R05,P008,91168.17,33676.10,Rolling Forecast
FC202401R06P001,2024-01-01,R06,P001,66525.34,28141.62,Rolling Forecast
FC202401R06P002,2024-01-01,R06,P002,69539.76,30812.75,Rolling Forecast
FC202401R06P003,2024-01-01,R06,P003,74126.79,28546.36,Rolling Forecast
FC202401R06P004,2024-01-01,R06,P004,72707.76,24828.84,Rolling Forecast
FC202401R06P005,2024-01-01,R06,P005,78666.31,25832.61,Rolling Forecast
FC202401R06P006,2024-01-01,R06,P006,59593.18,16648.02,Rolling Forecast
FC202401R06P007,2024-01-01,R06,P007,56387.19,18330.71,Rolling Forecast
FC202401R06P008,2024-01-01,R06,P008,84914.07,30379.61,Rolling Forecast
FC202402R01P001,2024-02-01,R01,P001,74859.13,32083.54,Rolling Forecast
FC202402R01P002,2024-02-01,R01,P002,82849.97,38237.73,Rolling Forecast
FC202402R01P003,2024-02-01,R01,P003,95000.07,37372.48,Rolling Forecast
FC202402R01P004,2024-02-01,R01,P004,84668.40,29014.74,Rolling Forecast
FC202402R01P005,2024-02-01,R01,P005,86648.06,29192.08,Rolling Forecast
FC202402R01P006,2024-02-01,R01,P006,67926.90,19694.41,Rolling Forecast
FC202402R01P007,2024-02-01,R01,P007,58519.63,18112.67,Rolling Forecast
FC202402R01P008,2024-02-01,R01,P008,124524.31,44180.65,Rolling Forecast
FC202402R02P001,2024-02-01,R02,P001,60039.04,25212.39,Rolling Forecast
FC202402R02P002,2024-02-01,R02,P002,72124.61,32572.88,Rolling Forecast
FC202402R02P003,2024-02-01,R02,P003,71119.46,28434.98,Rolling Forecast
FC202402R02P004,2024-02-01,R02,P004,95050.18,31859.45,Rolling Forecast
FC202402R02P005,2024-02-01,R02,P005,90651.92,31141.99,Rolling Forecast
FC202402R02P006,2024-02-01,R02,P006,67489.09,18928.17,Rolling Forecast
FC202402R02P007,2024-02-01,R02,P007,61794.27,20240.61,Rolling Forecast
FC202402R02P008,2024-02-01,R02,P008,98411.66,36376.08,Rolling Forecast
FC202402R03P001,2024-02-01,R03,P001,68858.78,30085.32,Rolling Forecast
FC202402R03P002,2024-02-01,R03,P002,83222.26,38849.43,Rolling Forecast
FC202402R03P003,2024-02-01,R03,P003,77616.69,29693.76,Rolling Forecast
FC202402R03P004,2024-02-01,R03,P004,102648.18,34512.31,Rolling Forecast
FC202402R03P005,2024-02-01,R03,P005,98568.04,32420.65,Rolling Forecast
FC202402R03P006,2024-02-01,R03,P006,60434.19,16515.73,Rolling Forecast
FC202402R03P007,2024-02-01,R03,P007,81266.75,25621.16,Rolling Forecast
FC202402R03P008,2024-02-01,R03,P008,108918.57,39904.47,Rolling Forecast
FC202402R04P001,2024-02-01,R04,P001,61481.57,25542.17,Rolling Forecast
FC202402R04P002,2024-02-01,R04,P002,78407.95,35835.17,Rolling Forecast
FC202402R04P003,2024-02-01,R04,P003,75300.78,29872.95,Rolling Forecast
FC202402R04P004,2024-02-01,R04,P004,92552.25,32928.86,Rolling Forecast
FC202402R04P005,2024-02-01,R04,P005,84078.37,29223.87,Rolling Forecast
FC202402R04P006,2024-02-01,R04,P006,58098.10,16863.18,Rolling Forecast
FC202402R04P007,2024-02-01,R04,P007,68811.12,22586.45,Rolling Forecast
FC202402R04P008,2024-02-01,R04,P008,91918.60,34904.90,Rolling Forecast
FC202402R05P001,2024-02-01,R05,P001,62985.50,26683.05,Rolling Forecast
FC202402R05P002,2024-02-01,R05,P002,79161.21,36103.84,Rolling Forecast
FC202402R05P003,2024-02-01,R05,P003,77964.27,31500.06,Rolling Forecast
FC202402R05P004,2024-02-01,R05,P004,96410.05,32647.71,Rolling Forecast
FC202402R05P005,2024-02-01,R05,P005,111091.43,36460.76,Rolling Forecast
FC202402R05P006,2024-02-01,R05,P006,69944.34,20247.17,Rolling Forecast
FC202402R05P007,2024-02-01,R05,P007,60686.65,18326.16,Rolling Forecast
FC202402R05P008,2024-02-01,R05,P008,99850.38,36028.95,Rolling Forecast
FC202402R06P001,2024-02-01,R06,P001,64267.06,27444.14,Rolling Forecast
FC202402R06P002,2024-02-01,R06,P002,76794.73,35970.50,Rolling Forecast
FC202402R06P003,2024-02-01,R06,P003,76043.80,31135.01,Rolling Forecast
FC202402R06P004,2024-02-01,R06,P004,91818.35,32489.74,Rolling Forecast
FC202402R06P005,2024-02-01,R06,P005,99602.83,31983.79,Rolling Forecast
FC202402R06P006,2024-02-01,R06,P006,62876.48,17149.55,Rolling Forecast
FC202402R06P007,2024-02-01,R06,P007,58830.83,19217.34,Rolling Forecast
FC202402R06P008,2024-02-01,R06,P008,92869.41,35251.21,Rolling Forecast
FC202403R01P001,2024-03-01,R01,P001,84145.25,35155.63,Rolling Forecast
FC202403R01P002,2024-03-01,R01,P002,84384.15,38561.86,Rolling Forecast
FC202403R01P003,2024-03-01,R01,P003,93091.54,36027.70,Rolling Forecast
FC202403R01P004,2024-03-01,R01,P004,92284.66,33219.07,Rolling Forecast
FC202403R01P005,2024-03-01,R01,P005,122531.72,39501.26,Rolling Forecast
FC202403R01P006,2024-03-01,R01,P006,64502.85,18776.15,Rolling Forecast
FC202403R01P007,2024-03-01,R01,P007,78325.57,25509.56,Rolling Forecast
FC202403R01P008,2024-03-01,R01,P008,145911.75,51121.95,Rolling Forecast
FC202403R02P001,2024-03-01,R02,P001,74337.90,31740.42,Rolling Forecast
FC202403R02P002,2024-03-01,R02,P002,82919.33,37725.87,Rolling Forecast
FC202403R02P003,2024-03-01,R02,P003,78436.03,30846.12,Rolling Forecast
FC202403R02P004,2024-03-01,R02,P004,102032.32,34000.68,Rolling Forecast
FC202403R02P005,2024-03-01,R02,P005,97543.90,31315.38,Rolling Forecast
FC202403R02P006,2024-03-01,R02,P006,67018.57,18685.27,Rolling Forecast
FC202403R02P007,2024-03-01,R02,P007,71192.10,21909.43,Rolling Forecast
FC202403R02P008,2024-03-01,R02,P008,120770.96,44573.48,Rolling Forecast
FC202403R03P001,2024-03-01,R03,P001,90704.92,38336.15,Rolling Forecast
FC202403R03P002,2024-03-01,R03,P002,88816.98,39462.25,Rolling Forecast
FC202403R03P003,2024-03-01,R03,P003,101104.52,41295.86,Rolling Forecast
FC202403R03P004,2024-03-01,R03,P004,100547.91,33368.55,Rolling Forecast
FC202403R03P005,2024-03-01,R03,P005,122941.08,42993.62,Rolling Forecast
FC202403R03P006,2024-03-01,R03,P006,67767.86,20111.79,Rolling Forecast
FC202403R03P007,2024-03-01,R03,P007,78852.54,24950.00,Rolling Forecast
FC202403R03P008,2024-03-01,R03,P008,114660.21,40544.41,Rolling Forecast
FC202403R04P001,2024-03-01,R04,P001,70248.10,29611.40,Rolling Forecast
FC202403R04P002,2024-03-01,R04,P002,83640.84,37339.46,Rolling Forecast
FC202403R04P003,2024-03-01,R04,P003,81843.13,32359.61,Rolling Forecast
FC202403R04P004,2024-03-01,R04,P004,84213.60,28389.38,Rolling Forecast
