OpportunityKey,CampaignKey,CreatedDate,ExpectedCloseDate,CustomerKey,SalesRepKey,RegionKey,PrimaryProductKey,SalesStage,StageProbability,OpportunityAmount,WeightedPipeline,LostReason,NextStepMissing
OP00001,CA00001,2023-11-14,2024-01-09,C002,S001,R01,P003,Qualified,0.3000,78783.34,23635.00,,False
OP00002,CA00002,2023-10-31,2024-01-04,C013,S003,R03,P005,Prospecting,0.1500,149334.69,22400.20,,True
OP00003,CA00003,2023-11-09,2024-01-09,C013,S008,R02,P007,Closed Lost,0.0000,13593.36,0.00,Price,False
OP00004,CA00004,2023-10-22,2023-12-22,C009,S012,R06,P001,Closed Won,1.0000,29775.99,29775.99,,False
OP00005,CA00005,2023-10-25,2024-01-06,C004,S002,R02,P001,Prospecting,0.1500,9031.23,1354.69,,False
OP00006,CA00006,2023-09-30,2023-12-29,C027,S002,R02,P007,Closed Won,1.0000,8770.35,8770.35,,False
OP00007,CA00007,2023-11-17,2024-01-11,C018,S010,R04,P005,Qualified,0.3000,276519.89,82955.97,,True
OP00008,CA00008,2023-11-05,2023-12-13,C015,S001,R01,P006,Prospecting,0.1500,8260.59,1239.09,,False
OP00009,CA00009,2023-12-23,2024-01-04,C022,S012,R06,P003,Qualified,0.3000,197620.01,59286.00,,False
OP00010,CA00010,2023-12-17,2024-01-06,C024,S008,R02,P008,Closed Lost,0.0000,200681.68,0.00,Budget Frozen,True
OP00011,CA00011,2023-12-04,2024-01-11,C009,S006,R06,P004,Proposal,0.5500,351697.37,193433.55,,False
OP00012,CA00012,2023-12-06,2024-01-05,C007,S005,R05,P008,Closed Won,1.0000,172920.16,172920.16,,False
OP00013,CA00013,2023-12-18,2024-01-06,C001,S006,R06,P003,Negotiation,0.7200,5667.69,4080.73,,False
OP00014,CA00014,2023-12-21,2024-01-03,C012,S002,R02,P002,Closed Won,1.0000,25424.58,25424.58,,False
OP00015,CA00015,2023-10-27,2023-12-28,C027,S006,R06,P005,Negotiation,0.7200,220361.31,158660.14,,True
OP00016,CA00016,2023-11-23,2024-01-17,C026,S003,R03,P008,Qualified,0.3000,134470.23,40341.07,,False
OP00017,CA00017,2023-11-30,2024-01-16,C024,S012,R06,P002,Proposal,0.5500,38224.73,21023.60,,False
OP00018,CA00018,2023-12-11,2024-01-11,C007,S012,R06,P005,Prospecting,0.1500,318095.28,47714.29,,False
OP00019,CA00019,2023-12-13,2024-01-01,C017,S004,R04,P004,Negotiation,0.7200,139485.96,100429.89,,False
OP00020,CA00020,2023-10-31,2023-12-10,C019,S007,R01,P004,Closed Lost,0.0000,170663.51,0.00,Price,False
OP00021,CA00021,2023-12-19,2024-01-14,C017,S006,R06,P006,Qualified,0.3000,5218.93,1565.68,,True
OP00022,CA00022,2023-10-02,2023-12-29,C005,S009,R03,P004,Qualified,0.3000,235301.62,70590.48,,False
OP00023,CA00023,2023-12-13,2024-01-06,C015,S006,R06,P007,Proposal,0.5500,5086.15,2797.38,,False
OP00024,CA00024,2023-12-02,2023-12-20,C026,S002,R02,P005,Qualified,0.3000,76198.69,22859.61,,True
OP00025,CA00025,2023-11-26,2023-12-27,C026,S007,R01,P007,Qualified,0.3000,108142.61,32442.78,,False
OP00026,CA00026,2023-11-29,2024-01-12,C019,S004,R04,P002,Closed Won,1.0000,13927.10,13927.10,,False
OP00027,CA00027,2023-12-20,2024-01-02,C024,S005,R05,P006,Closed Lost,0.0000,10465.39,0.00,Budget Frozen,False
OP00028,CA00028,2023-10-07,2024-01-04,C030,S005,R05,P003,Closed Won,1.0000,35702.90,35702.90,,False
OP00029,CA00029,2023-10-28,2024-01-14,C010,S008,R02,P008,Negotiation,0.7200,368904.87,265611.50,,False
OP00030,CA00030,2023-12-07,2024-01-03,C019,S002,R02,P003,Qualified,0.3000,37999.81,11399.94,,False
OP00031,CA00031,2023-10-19,2023-12-23,C019,S004,R04,P004,Qualified,0.3000,59800.68,17940.20,,False
OP00032,CA00032,2023-11-21,2024-01-22,C012,S008,R02,P004,Closed Won,1.0000,90601.44,90601.44,,False
OP00033,CA00033,2023-12-15,2023-12-28,C006,S001,R01,P008,Proposal,0.5500,94574.40,52015.92,,False
OP00034,CA00034,2023-10-04,2024-01-02,C015,S011,R05,P008,Closed Won,1.0000,47258.86,47258.86,,False
OP00035,CA00035,2023-10-14,2024-01-04,C018,S001,R01,P003,Prospecting,0.1500,98754.73,14813.21,,False
OP00036,CA00036,2023-10-21,2023-12-31,C019,S006,R06,P008,Closed Won,1.0000,41376.12,41376.12,,False
OP00037,CA00037,2023-11-30,2024-01-12,C027,S007,R01,P003,Prospecting,0.1500,81651.60,12247.74,,False
OP00038,CA00038,2023-09-24,2023-12-23,C030,S009,R03,P007,Prospecting,0.1500,40971.63,6145.74,,False
OP00039,CA00039,2023-11-08,2023-12-14,C003,S011,R05,P002,Prospecting,0.1500,30260.70,4539.10,,False
