PlanKey,MonthStartDate,RegionKey,ProductKey,PlanRevenue,PlanCost,PlanBookings
PL202401R01P001,2024-01-01,R01,P001,65933.62,26748.52,24.0
PL202401R01P002,2024-01-01,R01,P002,69052.85,30114.77,17.0
PL202401R01P003,2024-01-01,R01,P003,68758.19,27552.54,12.0
PL202401R01P004,2024-01-01,R01,P004,79739.32,27065.08,11.0
PL202401R01P005,2024-01-01,R01,P005,90492.78,31374.09,11.0
PL202401R01P006,2024-01-01,R01,P006,58103.96,16922.88,32.0
PL202401R01P007,2024-01-01,R01,P007,60314.34,19619.35,25.0
PL202401R01P008,2024-01-01,R01,P008,104696.60,39317.58,10.0
PL202401R02P001,2024-01-01,R02,P001,55668.71,23156.46,20.0
PL202401R02P002,2024-01-01,R02,P002,64345.11,30043.09,16.0
PL202401R02P003,2024-01-01,R02,P003,69343.83,26887.81,12.0
PL202401R02P004,2024-01-01,R02,P004,76133.83,24993.16,11.0
PL202401R02P005,2024-01-01,R02,P005,84480.06,26873.19,11.0
PL202401R02P006,2024-01-01,R02,P006,58422.26,16601.58,32.0
PL202401R02P007,2024-01-01,R02,P007,55687.00,17080.00,23.0
PL202401R02P008,2024-01-01,R02,P008,85385.26,30850.31,8.0
PL202401R03P001,2024-01-01,R03,P001,66158.54,26876.73,24.0
PL202401R03P002,2024-01-01,R03,P002,75497.70,35180.55,19.0
PL202401R03P003,2024-01-01,R03,P003,81212.66,31583.18,14.0
PL202401R03P004,2024-01-01,R03,P004,86735.57,30550.72,12.0
PL202401R03P005,2024-01-01,R03,P005,92477.72,29668.08,12.0
PL202401R03P006,2024-01-01,R03,P006,57405.65,16765.43,32.0
PL202401R03P007,2024-01-01,R03,P007,59535.12,18203.48,25.0
PL202401R03P008,2024-01-01,R03,P008,98303.55,35555.28,9.0
PL202401R04P001,2024-01-01,R04,P001,54442.16,22686.65,20.0
PL202401R04P002,2024-01-01,R04,P002,64524.86,28457.35,16.0
PL202401R04P003,2024-01-01,R04,P003,71441.50,28761.36,12.0
PL202401R04P004,2024-01-01,R04,P004,73139.98,24680.97,10.0
PL202401R04P005,2024-01-01,R04,P005,77765.43,24645.15,10.0
PL202401R04P006,2024-01-01,R04,P006,51261.19,14674.12,28.0
PL202401R04P007,2024-01-01,R04,P007,53333.35,17214.39,22.0
PL202401R04P008,2024-01-01,R04,P008,88962.34,32927.45,8.0
PL202401R05P001,2024-01-01,R05,P001,60200.10,24488.19,22.0
PL202401R05P002,2024-01-01,R05,P002,64992.03,30413.79,16.0
PL202401R05P003,2024-01-01,R05,P003,71781.81,28837.47,12.0
PL202401R05P004,2024-01-01,R05,P004,88239.38,30392.46,12.0
PL202401R05P005,2024-01-01,R05,P005,90808.35,31349.55,11.0
PL202401R05P006,2024-01-01,R05,P006,61704.84,17457.68,34.0
PL202401R05P007,2024-01-01,R05,P007,57412.66,18324.93,24.0
PL202401R05P008,2024-01-01,R05,P008,96478.11,34047.14,9.0
PL202401R06P001,2024-01-01,R06,P001,60346.09,25141.46,22.0
PL202401R06P002,2024-01-01,R06,P002,64931.27,29804.10,16.0
PL202401R06P003,2024-01-01,R06,P003,68601.04,26093.57,12.0
PL202401R06P004,2024-01-01,R06,P004,79791.24,27558.01,11.0
PL202401R06P005,2024-01-01,R06,P005,84624.43,28994.18,11.0
PL202401R06P006,2024-01-01,R06,P006,59286.65,17234.35,33.0
PL202401R06P007,2024-01-01,R06,P007,57032.93,17917.86,24.0
PL202401R06P008,2024-01-01,R06,P008,85604.84,30713.84,8.0
PL202402R01P001,2024-02-01,R01,P001,70796.74,29409.17,26.0
PL202402R01P002,2024-02-01,R01,P002,74895.80,34106.83,19.0
PL202402R01P003,2024-02-01,R01,P003,85872.25,34506.05,15.0
